"","Age","Gender","Stream","Internships","CGPA","Hostel","HistoryOfBacklogs","PlacedOrNot"
"1540",23,"Male","Computer Science",1,7,0,0,0
"1544",23,"Female","Computer Science",0,7,1,1,0
"1550",20,"Male","Computer Science",2,7,0,0,0
"1551",21,"Male","Computer Science",0,7,0,0,1
"1554",22,"Male","Computer Science",0,7,0,0,0
"1559",22,"Male","Computer Science",0,7,0,0,1
"1563",23,"Male","Computer Science",2,7,0,1,1
"1572",20,"Male","Computer Science",1,7,0,0,1
"1575",23,"Male","Computer Science",1,7,0,0,0
"1601",21,"Female","Computer Science",0,7,1,0,1
"1602",23,"Female","Computer Science",1,7,1,0,1
"1630",24,"Male","Computer Science",1,7,0,0,0
"1636",20,"Female","Computer Science",2,7,1,1,0
"1661",23,"Female","Computer Science",1,7,1,0,0
"1691",24,"Female","Computer Science",1,7,1,0,1
"1769",20,"Male","Computer Science",3,7,0,1,0
"1771",21,"Female","Computer Science",0,7,1,0,0
"1772",23,"Male","Computer Science",1,7,0,0,0
"1801",21,"Female","Computer Science",0,7,1,0,0
"1802",24,"Male","Computer Science",0,7,0,0,1
"1832",22,"Male","Computer Science",0,7,0,0,0
"1856",21,"Female","Computer Science",0,7,1,1,0
"1868",20,"Male","Computer Science",0,7,0,0,0
"1869",24,"Male","Computer Science",1,7,0,0,0
"1910",21,"Male","Computer Science",1,7,0,0,1
"1911",19,"Male","Computer Science",0,7,0,0,1
"1920",22,"Male","Computer Science",0,7,0,0,0
"1927",22,"Female","Computer Science",1,7,1,0,1
"1928",19,"Male","Computer Science",1,7,0,1,1
"1930",22,"Male","Computer Science",3,7,0,0,0
"1944",20,"Male","Computer Science",0,7,0,1,0
"1945",20,"Male","Computer Science",1,7,0,0,0
"1958",22,"Female","Computer Science",1,7,1,0,0
"1962",19,"Male","Computer Science",2,7,0,0,1
"1969",20,"Male","Computer Science",1,7,0,0,0
"1970",22,"Male","Computer Science",0,7,0,0,0
"1975",21,"Male","Computer Science",0,7,0,0,0
"1985",21,"Male","Computer Science",1,7,0,1,0
"1992",22,"Male","Computer Science",2,7,0,0,0
"1993",20,"Male","Computer Science",1,7,0,0,0
"2000",19,"Male","Computer Science",1,7,0,0,0
"2006",22,"Male","Computer Science",0,7,0,0,0
"2015",19,"Male","Computer Science",0,7,0,0,0
"2020",20,"Male","Computer Science",0,7,0,1,0
"2030",22,"Male","Computer Science",1,7,0,0,0
"2036",20,"Male","Computer Science",0,7,0,0,0
"2040",20,"Male","Computer Science",2,7,0,0,1
"2051",22,"Male","Computer Science",1,7,0,0,0
"2073",19,"Male","Computer Science",2,7,0,1,0
"2089",21,"Female","Computer Science",2,7,1,0,1
"2096",22,"Male","Computer Science",2,7,0,0,0
"2098",19,"Male","Computer Science",1,7,0,0,0
"2117",21,"Male","Computer Science",1,7,0,1,1
"2150",19,"Male","Computer Science",1,7,0,0,1
"2166",20,"Male","Computer Science",2,7,0,1,1
"2180",21,"Male","Computer Science",2,7,0,0,0
"2207",20,"Female","Computer Science",0,7,1,1,1
"2208",19,"Female","Computer Science",1,7,1,0,1
"2216",20,"Male","Computer Science",0,7,0,0,0
"2254",20,"Female","Computer Science",0,7,1,0,0
"2257",20,"Male","Computer Science",1,7,0,0,1
"2259",19,"Male","Computer Science",0,7,0,1,1
"2261",22,"Male","Computer Science",1,7,0,0,0
"2267",22,"Male","Computer Science",1,7,0,0,0
"2269",20,"Male","Computer Science",2,7,0,0,1
"2313",20,"Male","Computer Science",1,7,0,0,0
"2323",22,"Female","Computer Science",1,7,1,0,0
"2328",20,"Male","Computer Science",2,7,0,0,1
"2329",19,"Female","Computer Science",1,7,1,0,0
"2353",21,"Male","Computer Science",2,7,0,0,1
"2360",21,"Male","Computer Science",0,7,0,1,0
"2366",19,"Male","Computer Science",0,7,0,1,0
"2383",20,"Male","Computer Science",0,7,0,1,0
"2413",22,"Female","Computer Science",2,7,1,0,0
"2416",20,"Male","Computer Science",1,7,0,0,0
"2418",20,"Male","Computer Science",0,7,0,0,0
"2436",20,"Male","Computer Science",1,7,0,0,0
"2448",22,"Male","Computer Science",1,7,0,0,0
"2451",19,"Male","Computer Science",1,7,0,0,0
"2452",21,"Male","Computer Science",0,7,0,0,0
"2462",19,"Male","Computer Science",0,7,0,1,0
"2475",21,"Male","Computer Science",1,7,0,0,0
"2482",19,"Female","Computer Science",1,7,1,0,0
"2491",22,"Male","Computer Science",2,7,0,0,0
"2499",21,"Male","Computer Science",0,7,0,1,0
"2509",21,"Male","Computer Science",0,7,0,0,0
"2513",21,"Male","Computer Science",0,7,0,0,0
"2524",20,"Male","Computer Science",1,7,0,0,0
"2537",20,"Male","Computer Science",0,7,0,0,0
"2556",21,"Male","Computer Science",1,7,1,0,0
"2579",21,"Male","Computer Science",1,7,0,0,0
"2585",21,"Male","Computer Science",2,7,0,1,0
"2600",20,"Male","Computer Science",1,7,1,0,0
"2601",20,"Female","Computer Science",0,7,1,0,0
"2617",21,"Female","Computer Science",1,7,1,0,0
"2624",20,"Female","Computer Science",0,7,1,0,0
"2647",20,"Male","Computer Science",1,7,0,0,0
"2657",20,"Male","Computer Science",1,7,0,0,0
"2672",21,"Female","Computer Science",0,7,1,0,0
"2690",21,"Male","Computer Science",1,7,0,0,0
"2694",20,"Male","Computer Science",2,7,0,0,1
"2723",20,"Male","Computer Science",1,7,0,0,0
"2726",21,"Male","Computer Science",0,7,0,0,0
"2728",21,"Male","Computer Science",2,7,0,1,0
"2762",20,"Male","Computer Science",1,7,0,0,0
"2780",21,"Male","Computer Science",0,7,0,0,0
"2781",20,"Male","Computer Science",0,7,0,1,0
"2784",20,"Male","Computer Science",0,7,0,0,0
"2805",21,"Male","Computer Science",1,7,0,0,0
"2810",21,"Male","Computer Science",1,7,0,0,0
"2814",23,"Male","Computer Science",1,7,0,0,0
"2819",21,"Male","Computer Science",1,7,0,0,0
"2821",21,"Male","Computer Science",1,7,0,0,0
"2842",21,"Male","Computer Science",1,7,0,0,0
"2849",21,"Male","Computer Science",1,7,0,0,0
"2861",22,"Male","Computer Science",1,7,0,0,0
"2884",21,"Male","Computer Science",1,7,0,0,0
"2901",22,"Male","Computer Science",0,7,0,1,0
"2903",23,"Female","Computer Science",0,7,1,1,0
"2926",23,"Male","Computer Science",0,7,0,0,0
"2933",21,"Male","Computer Science",1,7,0,0,0
"2939",21,"Male","Computer Science",0,7,0,1,0
"2946",21,"Male","Computer Science",1,7,0,0,0
"2965",22,"Male","Computer Science",1,7,0,0,0
